id,name,sex,age,staffel,fans,type,typisierung,sender
unimusi,Universal Music,99,99,99,4,0,8,99
uus,Unter uns,99,99,99,99,0,6,99
val,V Album,99,99,99,99,0,10,99
vnf,Verrueckt nach Fluss,99,99,99,2,0,6,99
VG,Viviana Grisafi,2,2,12,4,1,2,99
via,Viva,99,99,99,99,0,5,3
VJD,Vanessa Jean Dedmon,2,3,3,1,1,3,99
voco,Vocal Coach bei DSDS,99,99,99,99,0,15,99
vbms,Voelkerballmannschaft,99,99,99,99,0,5,99
voke,Volle Kanne,99,99,99,99,0,5,3
vogdw,Vom Geist der Weihnacht,99,99,99,99,0,7,99
voesc,Vorentscheid ESC,99,99,99,99,0,5,3
vstau,VStaerker aus,99,99,99,99,0,15,99
vstaush,VStaerker aus Show,99,99,99,99,0,4,99
wahrheit,Single mit Bushido,99,99,99,99,0,15,99
wennhimmelwill,Wenn der Himmel es so will,99,99,99,99,0,10,99
wennmusispielt,Wenn die Musi spielt,99,99,99,99,0,5,3
wennbrennt,Wenn es brennt,99,99,99,99,0,10,99
weumstill,Wenn es um uns still wird,99,99,99,99,0,10,99
werwirdmilli,Wer wird Millionär,99,99,99,99,0,5,1
wettda,Wetten dass,99,99,99,99,0,5,3
whenwakeup,When We Wake Up,99,99,99,99,0,10,99
whenwakeuptour,When We Wake Up Tour,99,99,99,99,0,13,99
wild,Wild And Young Award,99,99,99,99,0,13,99
willi,Willie der Weihnachtsstollen,99,99,99,99,0,15,99
willkommen,Willkommen bei Carmen Nebel,99,99,99,99,0,5,3
wilson,Wilson Gonzalez Ochsenknecht,1,2,99,3,1,15,99
wohl,Wohlfuehlgarantie,99,99,99,99,0,10,99
wok,Wok WM,99,99,99,99,0,5,3
worldi,World Idol,99,99,99,99,0,5,99
youwant,You want it,99,99,99,99,0,10,99
zdffern,ZDF Fernsehgarten,99,99,99,4,0,6,3
zifrei,Zimmer frei,99,99,99,99,0,5,3
zuzumi,Zurueck zu mir,99,99,99,99,0,10,99
zwiwel,Zwischen Welten,99,99,99,99,0,10,99
